UTC,Open,High,Low,Close,Volume
24.11.2022 00:00:00.000 UTC,1.04178,1.04181,1.04174,1.04177,321.33
24.11.2022 00:01:00.000 UTC,1.04175,1.04183,1.04169,1.04183,355.92
24.11.2022 00:02:00.000 UTC,1.04184,1.04186,1.04176,1.04184,398.1
24.11.2022 00:03:00.000 UTC,1.04183,1.04192,1.04166,1.04171,497.63
24.11.2022 00:04:00.000 UTC,1.04171,1.04171,1.04145,1.04146,377.2
24.11.2022 00:05:00.000 UTC,1.04146,1.04153,1.0412,1.0412,381.73
24.11.2022 00:06:00.000 UTC,1.04119,1.04121,1.04113,1.04121,337.22
24.11.2022 00:07:00.000 UTC,1.04121,1.04121,1.04062,1.04063,421.18
24.11.2022 00:08:00.000 UTC,1.04065,1.04066,1.04054,1.04063,433.39
24.11.2022 00:09:00.000 UTC,1.04065,1.04068,1.04058,1.0406,269.3
24.11.2022 00:10:00.000 UTC,1.04061,1.04068,1.04058,1.04065,235.33
24.11.2022 00:11:00.000 UTC,1.04064,1.04068,1.0406,1.04065,279.58
24.11.2022 00:12:00.000 UTC,1.04064,1.04069,1.04055,1.04056,420.76
24.11.2022 00:13:00.000 UTC,1.04055,1.04071,1.04052,1.04071,148
24.11.2022 00:14:00.000 UTC,1.0407,1.0407,1.0406,1.0406,209.82
24.11.2022 00:15:00.000 UTC,1.04061,1.04065,1.04053,1.04061,309.68
24.11.2022 00:16:00.000 UTC,1.04062,1.04079,1.04061,1.04065,244.63
24.11.2022 00:17:00.000 UTC,1.04065,1.04067,1.04052,1.04058,448.55
24.11.2022 00:18:00.000 UTC,1.04059,1.04075,1.04059,1.04066,223.92
24.11.2022 00:19:00.000 UTC,1.04067,1.04075,1.04066,1.04071,228.88
24.11.2022 00:20:00.000 UTC,1.04073,1.04081,1.04071,1.04078,173.22
24.11.2022 00:21:00.000 UTC,1.04079,1.04079,1.04061,1.04061,171.24
24.11.2022 00:22:00.000 UTC,1.04061,1.04062,1.0405,1.04053,111.72
24.11.2022 00:23:00.000 UTC,1.04052,1.04067,1.04052,1.04063,158.64
24.11.2022 00:24:00.000 UTC,1.04062,1.04064,1.04056,1.04056,223.7
24.11.2022 00:25:00.000 UTC,1.04058,1.04064,1.04051,1.04062,230.02
24.11.2022 00:26:00.000 UTC,1.04061,1.04068,1.04059,1.04062,173.9
24.11.2022 00:27:00.000 UTC,1.04062,1.04063,1.04056,1.04057,175.42
24.11.2022 00:28:00.000 UTC,1.04058,1.04073,1.04056,1.04073,157.08
24.11.2022 00:29:00.000 UTC,1.04073,1.04075,1.04067,1.04071,239.37
24.11.2022 00:30:00.000 UTC,1.04071,1.04082,1.04067,1.04082,359.24
24.11.2022 00:31:00.000 UTC,1.04081,1.0409,1.04079,1.04084,301.74
24.11.2022 00:32:00.000 UTC,1.04085,1.04108,1.04084,1.04104,314.98
24.11.2022 00:33:00.000 UTC,1.04104,1.04115,1.04103,1.04115,242.8
24.11.2022 00:34:00.000 UTC,1.04118,1.04132,1.04118,1.04124,237.28
24.11.2022 00:35:00.000 UTC,1.04127,1.04142,1.04125,1.04127,224.77
24.11.2022 00:36:00.000 UTC,1.04128,1.04128,1.04108,1.0411,360.1
24.11.2022 00:37:00.000 UTC,1.0411,1.04119,1.04109,1.04119,423.5
24.11.2022 00:38:00.000 UTC,1.04119,1.04126,1.04117,1.04124,293.04
24.11.2022 00:39:00.000 UTC,1.04124,1.04127,1.04117,1.04119,228.44
24.11.2022 00:40:00.000 UTC,1.0412,1.0412,1.0411,1.04119,305.82
24.11.2022 00:41:00.000 UTC,1.04117,1.04129,1.04116,1.04127,236.98
24.11.2022 00:42:00.000 UTC,1.04126,1.04146,1.04126,1.04141,358.16
24.11.2022 00:43:00.000 UTC,1.04141,1.04141,1.0413,1.04132,196.88
24.11.2022 00:44:00.000 UTC,1.0413,1.04132,1.04115,1.04117,400.94
24.11.2022 00:45:00.000 UTC,1.04117,1.04124,1.04112,1.04117,256.8
24.11.2022 00:46:00.000 UTC,1.04117,1.04128,1.04109,1.04127,297.7
24.11.2022 00:47:00.000 UTC,1.04127,1.04129,1.04123,1.04124,174.38
24.11.2022 00:48:00.000 UTC,1.04122,1.04126,1.04117,1.04121,119.12
24.11.2022 00:49:00.000 UTC,1.0412,1.04126,1.04116,1.04119,237
24.11.2022 00:50:00.000 UTC,1.04119,1.04119,1.04111,1.04111,103.42
24.11.2022 00:51:00.000 UTC,1.0411,1.0413,1.04107,1.04124,380.02
24.11.2022 00:52:00.000 UTC,1.04123,1.04128,1.0412,1.04125,343.3
24.11.2022 00:53:00.000 UTC,1.04126,1.04133,1.04117,1.04128,391.74
24.11.2022 00:54:00.000 UTC,1.04128,1.04143,1.04124,1.04132,441.68
24.11.2022 00:55:00.000 UTC,1.04134,1.04138,1.04127,1.04129,400.56
24.11.2022 00:56:00.000 UTC,1.0413,1.04145,1.0413,1.04139,234.59
