contractSymbol,expiration,strike,lastPrice,impliedVolatility
AAPL251128C00110000,2025-11-28,110.0,166.22,1.0000000000000004e-05
AAPL251128C00120000,2025-11-28,120.0,150.8,1.0000000000000004e-05
AAPL251128C00125000,2025-11-28,125.0,145.77,1.0000000000000004e-05
AAPL251128C00130000,2025-11-28,130.0,141.01,1.0000000000000004e-05
AAPL251128C00135000,2025-11-28,135.0,140.97,1.0000000000000004e-05
AAPL251128C00140000,2025-11-28,140.0,130.7,1.0000000000000004e-05
AAPL251128C00145000,2025-11-28,145.0,131.03,1.0000000000000004e-05
AAPL251128C00150000,2025-11-28,150.0,126.1,1.0000000000000004e-05
AAPL251128C00155000,2025-11-28,155.0,121.16,1.0000000000000004e-05
AAPL251128C00160000,2025-11-28,160.0,109.91,1.0000000000000004e-05
AAPL251128C00170000,2025-11-28,170.0,102.86,1.0000000000000004e-05
AAPL251128C00175000,2025-11-28,175.0,96.85,1.0000000000000004e-05
AAPL251128C00180000,2025-11-28,180.0,87.46,1.0000000000000004e-05
AAPL251128C00185000,2025-11-28,185.0,85.67,1.0000000000000004e-05
AAPL251128C00190000,2025-11-28,190.0,80.15,1.0000000000000004e-05
AAPL251128C00195000,2025-11-28,195.0,75.43,1.0000000000000004e-05
AAPL251128C00200000,2025-11-28,200.0,68.77,1.0000000000000004e-05
AAPL251128C00205000,2025-11-28,205.0,69.2,1.0000000000000004e-05
AAPL251128C00210000,2025-11-28,210.0,65.41,1.0000000000000004e-05
AAPL251128C00215000,2025-11-28,215.0,61.07,1.0000000000000004e-05
AAPL251128C00220000,2025-11-28,220.0,56.45,1.0000000000000004e-05
AAPL251128C00222500,2025-11-28,222.5,50.35,1.0000000000000004e-05
AAPL251128C00225000,2025-11-28,225.0,51.13,1.0000000000000004e-05
AAPL251128C00227500,2025-11-28,227.5,44.58,1.0000000000000004e-05
AAPL251128C00230000,2025-11-28,230.0,45.25,1.0000000000000004e-05
AAPL251128C00232500,2025-11-28,232.5,39.8,1.0000000000000004e-05
AAPL251128C00235000,2025-11-28,235.0,41.19,1.0000000000000004e-05
AAPL251128C00237500,2025-11-28,237.5,37.47,1.0000000000000004e-05
AAPL251128C00240000,2025-11-28,240.0,36.4,1.0000000000000004e-05
AAPL251128C00242500,2025-11-28,242.5,34.06,1.0000000000000004e-05
AAPL251128C00245000,2025-11-28,245.0,31.65,1.0000000000000004e-05
AAPL251128C00247500,2025-11-28,247.5,28.82,1.0000000000000004e-05
AAPL251128C00250000,2025-11-28,250.0,27.07,1.0000000000000004e-05
